,Samples_ID,Eukaryota,Non-photosynthetic_procaryotes,Photosynthetic_procaryotes,PPE
0,gos01,3806,65806,26452,822
1,gos02,4885,90313,8309,899
2,gos03,499,24636,3106,98
3,gos04,1811,62624,998,90
4,gos05,4873,21714,18,1253
5,gos06,527,71754,2007,45
6,gos07,8578,95781,1339,198
7,gos08,3727,97209,11710,382
8,gos09,400,12705,2121,103
9,gos10,5271,100361,31356,665
10,gos11,1052,32048,1434,76
11,gos12,6692,93160,31559,973
12,gos13,8694,100802,2517,393
13,gos14,3821,54224,881,121
14,gos15,3311,113863,21482,574
15,gos16,196,13685,2083,36
16,gos17,9544,104516,7886,2024
17,gos18,5870,116237,1833,226
18,gos19,151,134695,3690,14
19,gos20,3391,78745,5038,858
20,gos21,770,20658,7122,233
21,gos22,7925,123655,1347,164
22,gos23,1578,33829,9084,493
23,gos24,1051,18394,423,306
24,gos25,1193,26515,2164,291
25,gos26,1452,21602,694,382
26,gos27,11829,100071,4192,3028
27,gos28,3097,43587,1777,456
28,gos29,120,28974,1153,12
29,gos30,534,34564,1715,63
30,gos31,2138,117147,20940,561
31,gos32,1687,39045,4680,307
32,gos33,2249,94792,18876,688
33,gos34,2778,18245,635,661
34,gos35,3332,28788,3548,484
35,gos36,4226,109259,15451,1201
36,gos37,381,16967,3183,65
37,gos38,1326,31667,1391,62
38,gos39,4300,108320,1917,180
39,gos40,2654,40137,4246,519
40,gos41,959,25788,441,23
41,gos42,2252,24863,4021,148
42,gos43,7379,78984,28555,1858
43,gos44,1524,17291,248,278
44,gos45,8989,49666,145,4014
45,gos46,2286,8359,2671,526
46,gos47,2974,74350,19433,568
47,gos48,5915,126966,13017,1113
48,gos49,470,30969,613,42
49,gos50,3675,23039,8303,1497
50,gos51,26310,114971,6020,579
51,gos52,1489,27905,547,53
52,gos53,1866,85273,23520,440
53,gos54,2201,24876,58,1070
54,gos55,1133,90502,32231,203
55,gos56,3570,90467,31749,519
56,gos57,4249,88768,14193,554
57,gos58,3628,84604,17555,952
58,gos59,2742,98664,12950,682
59,gos60,2587,9810,1938,315
60,gos61,809,19188,6153,75
61,gos62,4985,54294,405,122
62,gos63,1299,14490,2154,236
63,gos64,1306,26545,516,46
64,gos65,829,177264,15427,101
65,gos66,1586,69057,9127,337
66,gos67,677,16057,167,13
67,gos68,3118,80031,29097,480
68,gos69,2385,80837,35750,757
69,gos70,124,15903,2118,17
70,gos71,101,89816,9619,13
71,gos72,666,31072,3893,178
72,gos73,1997,39157,907,117
73,gos74,2857,94560,1859,110
74,gos75,4100,99159,12840,1095
75,gos76,2365,99581,15284,205
76,gos77,3875,44253,653,195
77,gos78,7003,100341,12582,1016
78,gos79,12616,135552,111,5862
79,gos80,2000,50050,7449,315
80,gos81,3756,94225,15678,645
81,gos82,4425,126074,6685,193
82,gos83,16300,131442,1605,487
83,gos84,2037,12992,4831,951
84,gos85,2202,65445,6951,179
85,gos86,3083,11603,2804,972
86,gos87,2967,97367,18622,564
87,gos88,4109,92562,30977,706
88,gos89,6819,121133,2271,247
89,gos90,9154,77137,8133,2940
90,gos91,1943,102599,22344,219
91,gos92,7730,63652,1053,176
92,gos93,6683,107752,17823,1835
